country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-05-19 10:00:00,26.987634,94.636574,CO,10.0,27.0,19.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-05-19 10:00:00,24.792403,84.992416,NH3,3.0,7.0,5.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-05-19 10:00:00,24.792403,84.992416,SO2,10.0,18.0,15.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2025-05-19 10:00:00,24.762518,84.982348,NO2,16.0,19.0,18.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,25.697189,85.2459,PM10,29.0,71.0,54.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,25.697189,85.2459,OZONE,66.0,146.0,76.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2025-05-19 10:00:00,25.560083,87.553265,NH3,1.0,1.0,1.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-05-19 10:00:00,25.251013,86.989001,NO2,13.0,30.0,19.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-05-19 10:00:00,25.204762,85.51496,NO2,9.0,10.0,10.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2025-05-19 10:00:00,24.7955,84.9994,PM2.5,33.0,200.0,86.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-05-19 10:00:00,27.308328,84.531742,NO2,3.0,7.0,5.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-05-19 10:00:00,27.308328,84.531742,SO2,5.0,7.0,6.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2025-05-19 10:00:00,25.376776,86.471523,NO2,4.0,5.0,5.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2025-05-19 10:00:00,26.146529,87.454184,NH3,5.0,6.0,5.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2025-05-19 10:00:00,26.80365,84.51954,NH3,4.0,5.0,5.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-05-19 10:00:00,16.5150833,80.5181667,SO2,9.0,48.0,15.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2025-05-19 10:00:00,28.6811736,77.3025234,NO2,69.0,74.0,73.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2025-05-19 10:00:00,28.6811736,77.3025234,SO2,11.0,20.0,14.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2025-05-19 10:00:00,28.6811736,77.3025234,CO,54.0,54.0,54.0
